Order_ID,Product,Quantity,Price,Date
5001,Laptop,0.0,30000,
5002,Headphones,,20000,2024/02/10
5003,Camera,0.0,55000,2024/02/10
5004,Camera,2.0,abc,10-03-2024
5005,Laptop,0.0,20000,
5006,Tablet,2.0,,
5007,Laptop,1.0,abc,2024-01-05
5008,Tablet,,abc,10-03-2024
5009,Camera,-3.0,20000,2024-01-05
5010,Laptop,,abc,
5011,Tablet,1.0,,2024/02/10
5012,Headphones,,55000,10-03-2024
5013,Laptop,-3.0,abc,
5014,Mobile,1.0,20000,2024-01-05
5015,Headphones,2.0,,
5016,Laptop,1.0,,2024-01-05
5017,Tablet,-3.0,,
5018,Tablet,,,
5019,Mobile,-3.0,20000,10-03-2024
5020,Camera,-3.0,55000,2024-01-05
5021,,2.0,30000,
5022,Laptop,-3.0,,
5023,Mobile,-3.0,,
5024,,,30000,10-03-2024
5025,Tablet,0.0,abc,2024-01-05
5026,,0.0,55000,2024-01-05
5027,Mobile,0.0,30000,
5028,Headphones,-3.0,30000,10-03-2024
5029,Headphones,,55000,
5030,Laptop,2.0,55000,10-03-2024
5031,,0.0,abc,
5032,,2.0,,2024/02/10
5033,Laptop,1.0,30000,
5034,Tablet,1.0,20000,
5035,Headphones,0.0,abc,
5036,Camera,1.0,55000,
5037,Tablet,1.0,,2024-01-05
5038,Mobile,,abc,2024/02/10
5039,Laptop,2.0,20000,
5040,Headphones,0.0,,
5041,Mobile,0.0,,
5042,,1.0,20000,2024-01-05
5043,Tablet,1.0,20000,10-03-2024
5044,Headphones,2.0,,10-03-2024
5045,Tablet,1.0,,
5046,,0.0,55000,
5047,,,abc,10-03-2024
5048,Laptop,,,
5049,Headphones,,55000,2024-01-05
5050,Mobile,,,
